,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw
0,65.0,10.0,28.0,22.0,-4.994,-5,-0.005,417.93,100736.0,286.53999999999996,-570.8,21.2,-565.7,-607.8,-48.9,-39.1,0.0,1.2247343376561788,979.4995546479081,39.99412246757025,40,453605.09454468766,123.02,123.03,13.09,12.28,0.0,100736.0,1.4546167645736305e-05,1.6,1.5999143947038514,1.5997843520805313,-5.2436403316632685,-0.1473812917766228,-73.2131096576883,-0.8557165777158547,4.52482589150298,0.25130606726538696,-0.024650710051656168,-0.0006928494825791515,-0.3441798109710013,-0.0028804322074253187,0.12893418254138844,0.0008459227142762905,-0.34072736296511397,-0.0545184731345669,-0.3441798109710013,-0.0246507704203166,0.0006906982996769273,-0.0029903991514251744,0.13588205834038328,0.22106389908166177,0.001103029934516595
46,111.0,11.0,8.0,17.0,-3.994,-4,-0.005,416.8,100714.0,287.34,-672.7,21.9,-309.4,-355.9,-271.2,-40.0,0.0,1.221057755314085,976.8307810504319,39.999684223337354,40,451326.4478480881,123.03,123.03,11.57,11.69,0.0,100714.0,1.4621641071803442e-05,1.6,1.6000068250164863,1.6000068250164863,-6.174082197292369,-0.14723358189166746,-47.489231484851686,-0.9124206301034243,2.6164068893346273,0.2585741515708951,-0.029104078419630072,-0.0006940461070079917,-0.22386004479001256,-0.003079695053990145,0.07475777875150827,0.0008727658159069885,-0.22128920949530761,-0.04462569657702009,-0.22386004479001256,-0.029104138875758526,0.0006915062943975779,-0.003206569524745605,0.08296084964399193,0.13828315201781882,0.001093990181351766
33,98.0,10.0,59.0,43.0,-2.994,-3,-0.005,417.63,100719.0,286.79999999999995,-745.0,18.6,-59.3,-103.4,-462.3,-36.1,0.0,1.2234175522320185,978.7910191616756,40.00116429069415,40,452877.49037520576,123.02,123.02,11.21,11.14,0.0,100719.0,1.4572103157859283e-05,1.6,1.6001960939507849,1.6001960939507849,-6.8327446716174665,-0.15162173550474167,-21.347060653944325,-0.8664867976683797,0.8090508762398496,0.23452743359089578,-0.032144449862347615,-0.0007133000732808828,-0.10042662998217526,-0.002918797258302376,0.023070462331399512,0.0007900155339975351,-0.0986105996586996,-0.0373459944502941,-0.10042662998217526,-0.03214451198712471,0.0007104949381366969,-0.0030743208450650012,0.0321304709397764,0.056783120854451294,0.000949513190031797
39,104.0,11.0,3.0,28.0,-1.994,-2,-0.005,417.25,100717.0,287.10999999999996,-790.5,14.9,182.0,139.0,-625.0,-32.6,0.0,1.2220723296049087,977.8935528363936,40.00482121523746,40,452040.86894458113,123.03,123.03,11.18,11.17,0.0,100717.0,1.4600407350574258e-05,1.6,1.600212307191154,1.600212307191154,-7.245303617840329,-0.16720311434159624,4.328116861311564,-0.8557102814880087,-0.9061285715829621,0.21295639600480223,-0.034116603464429435,-0.0007873241275857332,0.020380187566120526,-0.002885141533961637,-0.025862391567736363,0.0007180109393658686,0.02155492865523105,-0.0333868196725485,0.020380187566120526,-0.03411667204151448,0.000784346889291346,-0.0030801867067796404,-0.016246525612650553,-0.021635257776458316,0.0008247507719802762
45,110.0,11.0,7.0,50.0,-0.994,-1,-0.005,417.22,100710.0,287.23999999999995,-804.6,-9.3,406.7,381.9,-754.9,-25.0,0.0,1.221434342561601,977.8227008009401,40.01381797858296,40,451747.42281802197,123.03,123.03,11.38,11.14,0.0,100710.0,1.4613177131717455e-05,1.6,1.6005721821010528,1.6005721821010528,-7.369409215064066,-0.45900773474574563,29.817922187255828,-0.8613506652384888,-2.5159503833394012,0.16410527292353988,-0.03470350489080464,-0.002161527023781602,0.14041646735315252,-0.0029043692736992806,-0.071814542457192,0.0005533429433170492,0.14099736318183403,-0.032262379506401026,0.14041646735315252,-0.03470369338748043,0.0021584985634433285,-0.0035034741162744587,-0.06203325659297729,-0.0972825973884358,0.0006140369015807378
38,103.0,11.0,3.0,0.0,0.006,0,-0.005,417.4,100718.0,287.02,-801.8,-30.3,628.5,615.4,-860.0,-13.6,0.0,1.2224676686868654,978.2478142630679,40.00559647049257,40,452306.1443035533,123.03,123.03,11.33,11.28,0.0,100718.0,1.4592127058522605e-05,1.6,1.600243317778447,1.600243317778447,-7.338638875602282,-0.6529184764642326,55.15787167377585,-0.8711753751844534,-3.983510305563861,0.09065624138847854,-0.03454358536494694,-0.003073341734129451,0.2596327031496686,-0.002936220459068676,-0.11365472617236065,0.0003055489380089051,0.25962908433027926,-0.034570773848585735,0.25963270314966863,-0.03454385343307588,0.0030703272259305493,-0.003802482925623003,-0.10391851410119957,-0.1688257851837694,0.00030515074125345544
47,112.0,11.0,8.0,47.0,1.001,1,-0.005,416.97,100715.0,287.42999999999995,-776.0,-23.9,840.8,823.5,-929.6,-14.8,0.0,1.220687538272233,977.2322704113608,40.01397000986698,40,451240.85909787146,123.04,123.03,11.95,12.08,0.0,100715.0,1.4629637492713454e-05,1.6,1.6004481774166561,1.6005782634263626,-7.096822431530347,-0.5649439948650223,79.22383408204504,-0.8441757544388908,-5.228934139246942,0.09952147315696623,-0.033440050154433125,-0.0026620020023043426,0.3733007286979273,-0.0028481773622955012,-0.1493433238477798,0.0003357770054606439,0.3726595665272684,-0.039956457255904756,0.37330072869792724,-0.033440282330600736,0.0026590837972857596,-0.0036037873434429076,-0.13991814645133602,-0.23308303808315312,0.0002727681128701307
34,99.0,11.0,0.0,31.0,2.001,2,-0.005,416.98,100717.0,286.96,-732.4,-24.0,1049.4,1030.1,-976.8,-13.7,0.0,1.2227111323977744,977.2558875158858,39.98132773290784,40,452195.31335087476,123.03,123.03,10.84,11.23,0.0,100717.0,1.4586849276845417e-05,1.6,1.5992725564706003,1.5992725564706003,-6.691865964262897,-0.5522187827402179,103.51813776884393,-0.8623459362749765,-6.370689623207012,0.09321486450409938,-0.03153114336487709,-0.0026019782375120613,0.48776309332639883,-0.0029094117012239897,-0.18194854734491972,0.00031449144259637087,0.48636469303194224,-0.04854311058408048,0.48776309332639883,-0.031531370310251654,0.0025992266162647775,-0.003651546762746336,-0.1730614009933384,-0.29465257425132396,0.00018679883442234362
42,107.0,11.0,5.0,38.0,3.005,3,-0.005,417.58,100713.0,287.12,-648.9,-8.5,1256.0,1224.2,-990.2,-20.0,0.0,1.2219812332763667,978.6729307237704,40.0222516015584,40,452191.86648658046,123.02,123.03,11.59,11.58,0.0,100713.0,1.4601891307299103e-05,1.6,1.6010396652086534,1.6009095311222346,-5.92050363197935,-0.38174695777875134,127.75005124079962,-0.8863350581131015,-7.474513772244697,0.13518052727633625,-0.027856199025938614,-0.0017961342302016804,0.6010689417899816,-0.0029860172139954287,-0.2131649572019999,0.0004554162421414796,0.5987821418350567,-0.05932779473503992,0.6010689417899817,-0.027856355662150493,0.0017937033114151265,-0.003511335322698105,-0.20531360482072036,-0.35500914027948455,0.0002707149353375196
35,100.0,11.0,1.0,5.0,4.001,4,-0.005,417.24,100717.0,286.96,-563.8,24.6,1453.8,1405.3,-1004.8,-39.8,0.0,1.2227111323977744,977.8699354819877,39.99388667371316,40,452337.35701212473,123.02,123.03,11.84,11.4,0.0,100717.0,1.4586849276845417e-05,1.6,1.5999049620681824,1.5997749202115563,-5.134960288267611,-0.09684590609965932,150.61101382064115,-0.8590775971377544,-8.622555091760747,0.2650717363865581,-0.02418002671779074,-0.0004560379176346952,0.709212561292326,-0.002896564844206247,-0.24610776985528257,0.0008937463569858317,0.7057969571862789,-0.0736056112907457,0.709212561292326,-0.024180066422535854,0.0004539278105036815,-0.0030800879638476918,-0.2392925575510715,-0.41574179684764123,0.0006766584456532807
